"section","subsection","element","Value"
"Model","Model settings","Model settings (fitting)","maxent: no settings provided; glm: no settings provided; mars: no settings provided; randomForest: no settings provided; suport vector machines: no settings provided; maxlike: no settings provided"
"Model","Model settings","Model settings (extrapolation)","Not considered"
"Model","Model estimates","Coefficients","mean"
"Model","Model estimates","Parameter uncertainty",""
"Model","Model estimates","Variable importance",""
"Model","Model selection - model averaging - ensembles","Model selection","Area under curve and TSS statistic"
"Model","Model selection - model averaging - ensembles","Model averaging","TSS statistic"
"Model","Model selection - model averaging - ensembles","Model ensembles","To create a single model for each species and climate scenario we used only the models that present AUC and TSS values greater than the average of all algorithms. After that, we created ensemble models with “weighted averages” through  the TSS value (Ribeiro-Souza et al., 2022) using the R package sdm (Naimi and Araújo, 2016)."
"Model","Analysis and Correction of non-independence","Spatial autocorrelation","Not considered"
"Model","Analysis and Correction of non-independence","Temporal autocorrelation",""
"Model","Analysis and Correction of non-independence","Nested data",""
"Model","Threshold selection","Threshold selection","We transformed the final continuous models into binary (presence = 1 and absence = 0) using the threshold that maximizes the sum of sensitivity and specificity (Max SSS) (Liu et al., 2013)"
"Assessment","Performance statistics","Performance on training data","ROC; TSS"
"Assessment","Performance statistics","Performance on validation data","ROC; TSS"
"Assessment","Performance statistics","Performance on test data","ROC; TSS"
"Assessment","Plausibility check","Response shapes","Response plots"
"Assessment","Plausibility check","Expert judgement","Map visualization by small mammals expert"
"Prediction","Prediction output","Prediction unit","The binary maps of presence = 1 and absence = 0 obtained using the MAX SSS threshold."
"Prediction","Prediction output","Post-processing",""
"Prediction","Uncertainty quantification","Algorithmic uncertainty",""
"Prediction","Uncertainty quantification","Input data uncertainty",""
"Prediction","Uncertainty quantification","Parameter uncertainty",""
"Prediction","Uncertainty quantification","Scenario uncertainty","We used the media between two Global Circulation Models (GCM): Model for Interdisciplinary Research on Climate version 6 (MIROC6) and the Canadian Earth System Model version 5 (CanESM5) (Collins et al., 2011; Navarro-Racines et al., 2020) to account for climate uncertain"
"Prediction","Uncertainty quantification","Novel environments","Not considered"
